CommentID	Class	PostID	Score	 Comment Text
=============== ======  ======  =====    =============================================================================

1741194	C6	138950	13	 Two comments: 1) in **HMTL-meta tags** you included a xml declaration. Remove it, it would only trigger browsers in quirks mode, you don't want to have that. Also, the HTML meta tags are in fact already implicitly done by JSP `pageEncoding`, so you could even leave it away. 2) in **MySQL database and tables** you used `utf8_swedish_si`, this should have been `utf8_unicode_ci`. You could even leave the collation away, just `CHARACTER SET utf8` is enough.

27134153	C7	18460710	18	 Actually, assuming that the generated bytecode conforms to the JLS, it is a proof!

4109195	C6	1299889	7	 Jesper, you should probably edit out the incorrect parts of your answers rather then just having a message saying the above is incorrect.

3480306	C7	3349987	11	 There might be an answer in here somewhere, but it's obfuscated by all the byte code.

17684934	C3	4240323	21	 That's not rocket science, I came up with pretty much the same answer. Minor tweak: instead of recursing until `n==0`, you can stop a level earlier at `n==1` and print out `prefix + str`.

5862500	C4	5199425	9	 Java has gone down the drain, with more and more bad design choices. Autoboxing is a complete failure, it's neither robust, predictable or portable. I really really wonder what they were thinking ... instead of fixing the dreaded primitive-object duality they managed to make it worse than in the first place.

3738368	C6	886979	41	 I'll never do that again, I promise ;)

29359739	C7	11227902	13	 Your assessment of the train-junction not being the "best" analogy isn't doing it justice. It is a *fantastic* analogy. Put that section of track in a thick fog-bank at dawn. Now flags and lights are useless as well. Admittedly you could still use *sound* (the train whistle), and we could counter that by manning a deaf operator in the switch house, but that may be beyond the realm of plausibility =P

5316881	C7	812540	20	 It's not true that ApplicationContext.getBean() is not IoC. Niether is it mandatory to have *all* your classes instantiated by Spring. That is inappropriate dogma. If the ApplicationContext is itself injected, then it's perfectly fine to ask it to instantiate a bean in this way - and the beans it creates can be different implementations based on the ApplicationContext initially injected. For instance, I have a scenario where I dynamically create new bean instances based on a bean name that is unknown at compile time but matches one of the implementations defined in my spring.xml file.

8147512	C1	6841479	17	 So why the heck was Shanghai 5 minutes out of wack in the first place?

7229153	C4	116916	9	 This benchmark is or rather its interpretation is not correct. In the low iteration count the later tests take advantage of the file caching of the operating system. In the higher iterations test the ranking is correct but not because File.length() is caching something but simply because the other 2 options are based on the same method but do extra work that slows them down.

18926687	C6	509230	12	 @DanNeely you are correct. In general, nobody should ever do this.

8145314	C6	6841479	8	 @yahelc: Nope - there's just general time zone code, which handles all kinds of historical time zone transitions.

2022835	C6	2090062	29	 @Downvoter: you clearly know nothing about JSF.

2080111	C6	1439792	11	 Altough as Jon says "Use Joda Time" is the basis of almost all SO questions which ask about java.util.Date or java.util.Calendar I always think that firstly is best to give a concrete answer based on the user's question, at least to show how hard can be to do the java way. And after that suggesting using Joda...

5845131	C1	5199425	30	 Now imagine if `i` were declared as `Long` as well!

8504088	C7	424936	17	 OK, answer is 1000 days old, has 132 upvotes, and has comments like "Wow!!", "Awesome!", and "Wow, this is beautiful!" Maybe someone can help me. Tried this code directly, and it failed my test suite. On quick inspection, the "1LL >> 33" at the end looked wonky for a couple reasons (shifting 1 right 33 times? and the fact that it's a right shift of a signed value). Changed the shift direction, everything seems to work. Am I missing something? Not criticizing A. Rex, code seems to fly now, and I couldn't have come up with this in 25 years. Just baffled.

